L_X,L_Y,L_Z,R_X,R_Y,R_Z
0.0360102,-2.01097,-0.629004,-0.809471,0.515029,-28.6051
0.0237049,-2.01224,-0.637652,-0.802581,0.506075,-28.5632
0.00927975,-2.0131,-0.654243,-0.799014,0.497224,-28.5256
-0.00760987,-2.01346,-0.679611,-0.798737,0.488487,-28.4922
-0.027191,-2.0132,-0.71423,-0.801634,0.47986,-28.4627
-0.0495271,-2.01229,-0.758137,-0.807546,0.471334,-28.4367
-0.0745262,-2.01066,-0.810966,-0.816263,0.462867,-28.4138
-0.101925,-2.00834,-0.871784,-0.827597,0.454404,-28.3936
-0.131344,-2.00541,-0.939302,-0.841356,0.445843,-28.376
-0.162295,-2.00198,-1.01178,-0.857378,0.437098,-28.3609
-0.1942,-1.99819,-1.08715,-0.875463,0.428075,-28.3483
-0.226459,-1.99415,-1.1632,-0.895371,0.418693,-28.3383
-0.258503,-1.9899,-1.23777,-0.916802,0.408919,-28.3307
-0.289827,-1.98543,-1.30896,-0.939368,0.398752,-28.3257
-0.320009,-1.98061,-1.37512,-0.962606,0.388272,-28.3228
-0.348678,-1.9753,-1.4348,-0.985951,0.377605,-28.3218
-0.375493,-1.96937,-1.48679,-1.00878,0.366952,-28.3219
-0.400128,-1.96271,-1.53003,-1.03039,0.356576,-28.3225
-0.422241,-1.95533,-1.56364,-1.05006,0.346742,-28.3226
-0.441514,-1.94734,-1.58693,-1.06709,0.337728,-28.3214
-0.457699,-1.9389,-1.59956,-1.08088,0.329773,-28.3178
-0.470654,-1.93023,-1.60165,-1.09101,0.323054,-28.3112
-0.480429,-1.9215,-1.59397,-1.09726,0.31768,-28.301
-0.487245,-1.91287,-1.57789,-1.09965,0.313665,-28.2869
-0.491439,-1.90444,-1.5552,-1.09852,0.310946,-28.269
-0.493447,-1.89635,-1.52811,-1.09438,0.309392,-28.2473
-0.493668,-1.88869,-1.49889,-1.08794,0.308826,-28.2224
-0.492436,-1.88155,-1.46983,-1.08,0.309018,-28.195
-0.489935,-1.87499,-1.44301,-1.07133,0.309733,-28.1655
-0.486177,-1.86902,-1.42019,-1.06267,0.310755,-28.1349
-0.480915,-1.86362,-1.40264,-1.05455,0.311895,-28.1037
-0.473693,-1.85875,-1.39114,-1.04732,0.313038,-28.0728
-0.463818,-1.8543,-1.38591,-1.0411,0.314165,-28.0429
-0.450379,-1.85017,-1.38652,-1.03573,0.315356,-28.0148
-0.432317,-1.84624,-1.39203,-1.03079,0.316835,-27.9894
-0.408435,-1.84238,-1.40086,-1.02552,0.318973,-27.9676
-0.377458,-1.83843,-1.41086,-1.01887,0.322303,-27.9504
-0.338091,-1.83427,-1.4194,-1.0094,0.327518,-27.939
-0.289036,-1.82976,-1.42326,-0.995301,0.335494,-27.9345
-0.229129,-1.82483,-1.419,-0.974399,0.347265,-27.9383
-0.157332,-1.81943,-1.40284,-0.944156,0.364033,-27.9517
-0.0728556,-1.81356,-1.37113,-0.901706,0.38718,-27.9763
0.024794,-1.80723,-1.32037,-0.843957,0.418223,-28.0136
0.135738,-1.80047,-1.24759,-0.767611,0.458806,-28.0652
0.259741,-1.79334,-1.15054,-0.669334,0.510707,-28.1329
0.396152,-1.78583,-1.02779,-0.545809,0.575766,-28.2184
0.543966,-1.77792,-0.878847,-0.393936,0.655942,-28.3237
0.701809,-1.7695,-0.704196,-0.210971,0.753255,-28.451
0.868081,-1.7604,-0.505079,0.00539269,0.869807,-28.6026
1.04098,-1.75036,-0.283508,0.256939,1.00774,-28.7807
1.21857,-1.73901,-0.0421217,0.544979,1.1692,-28.9875
1.39892,-1.72594,0.215949,0.87037,1.35628,-29.2251
1.58005,-1.71061,0.487091,1.23354,1.57104,-29.4947
